country_code,report_date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
ROU,2020-01-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,2020-01-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,2020-01-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,2020-01-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,2020-01-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROU,2020-01-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.56,2.78,1.79,0
ROU,2020-01-28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.56,2.78,1.79,0
ROU,2020-01-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.56,2.78,1.79,0
ROU,2020-01-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.56,2.78,1.79,0
ROU,2020-01-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.56,2.78,1.79,0
ROU,2020-02-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
ROU,2020-02-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.12,5.56,3.57,0
